Handle,Title,Product Category,Type,Tags,Published,Image Src,Status
le-link-huggie-earrings-clear-vintage-gold,"D3 ALT Le Link Huggie Earrings -, CLEAR / VINTAGE GOLD",Uncategorized,JEWELRY - EARRINGS - EARRINGS,"Category:Accessories, ClareVJewelryCollection, cp-fall24, FALL-24, material::care_guides_cvearrings",False,,active
cv-dice-charm-multi-vintage-gold,Dice Charm,Uncategorized,JEWELRY - CHARMS - CHARMS,"add-on::cv-charm-chains, catalogFALL24, Category:Accessories, ClareVJewelryCollection, FALL-24, le-cute-show, material::care_guides_CVjewelry, new-arrivals",True,https://cdn.shopify.com/s/files/1/1240/1014/files/CV-Dice-Charm---JW-CH-HM-100101-VGMLT---front.jpg?v=1720555148,active
cv-dice-charm-multi-vintage-gold,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/CV-Dice-Charm---JW-CH-HM-100101-VGMLT---back.jpg?v=1720555148,
cv-dice-charm-multi-vintage-gold,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/dice-charm_swatch.jpg?v=1721173177,
puff-heart-chain-bracelet-gold,"8/22 D2 ALT RCVD Puff Heart Chain Bracelet -, GOLD",Uncategorized,JEWELRY - BRACELETS - BRACELET,"ALLOCATED, catalogFALL24, Category:Accessories, ClareVJewelryCollection, FALL-24, material::care_guides_CVjewelry",False,,active
puff-heart-chain-necklace-gold,"8/22 D2 ALT RCVD Puff Heart Chain Necklace -, GOLD",Uncategorized,JEWELRY - NECKLACES - NECKLACE,"ALLOCATED, catalogFALL24, Category:Accessories, ClareVJewelryCollection, FALL-24, material::care_guides_CVjewelry",False,,active
baroque-pearl-earrings-cream-vintage-gold,"D3 ALT Baroque Pearl Earrings -, CREAM / VINTAGE GOLD",Uncategorized,JEWELRY - EARRINGS - EARRINGS,"Category:Accessories, ClareVJewelryCollection, FALL-24, material::care_guides_cvearrings",False,,active
mariner-chain-bracelet-14k-gold,"8/22 D2 ALT RCVD Mariner Chain Bracelet -, 14K GOLD",Uncategorized,JEWELRY - BRACELETS - BRACELET,"ALLOCATED, catalogFALL24, Category:Accessories, ClareVJewelryCollection, cp-fall24, CVFineJewelry-NoDiscounts, FALL-24, material::care_guides_cvfinejewelry",False,,active
ciao-chain-bracelet-vintage-gold,Ciao Chain Bracelet,Uncategorized,JEWELRY - BRACELETS - BRACELET,"catalogFALL24, Category:Accessories, ClareVJewelryCollection, FALL-24, le-cute-show, material::care_guides_CVjewelry, new-arrivals",True,https://cdn.shopify.com/s/files/1/1240/1014/files/Ciao-Chain-Bracelet---JW-BR-BU-100080-VGOLD---front.jpg?v=1721417231,active
ciao-chain-bracelet-vintage-gold,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Ciao-Chain-Bracelet---JW-BR-BU-100080-VGOLD---Noma_2.jpg?v=1721417526,
