Message Send Date,Campaign,Message,Message Variant,Message Channel,Has Media,Delivered,Email Sends,Email Unique Opens,Email Unique Open Rate,Email Total Opens,Email Total Open Rate,Email Unique Clicks,Email Unique Click Rate,Total Clicks,Total Click Rate,Conversions,Conversion Rate,Revenue,Average Order Value,Revenue / Message,Unsubscribes,Unsubscribe Rate,Email Hard Bounces,Email Hard Bounce Rate,Fatigues,Email Spam Reported
2024-07-27,Campaign Sequence 07-26-24,Evergreen Back in Stock,Evergreen Back in Stock,TEXT,false,"68,224",,,,,,,,"6,384",9.357410881801126%,131,2.0520050125313283%,"$43,683.25",$333.46,$0.64,627,0.919031425891182%,,,,
2024-08-02,Campaign Sequence 07-31-24,New August Arrivals ,New August Arrivals ,TEXT,false,"68,531",,,,,,,,"6,003",8.75953947848419%,124,2.0656338497417956%,"$41,070.81",$331.22,$0.60,728,1.0622929769009646%,,,,
2024-08-06,Campaign Sequence 08-05-24,Petite Jeanne,Petite Jeanne,TEXT,false,"66,665",,,,,,,,"8,904",13.35633390834771%,95,1.0669362084456424%,"$33,703.98",$354.78,$0.51,775,1.1625290632265808%,,,,
2024-08-14,Copy of Sample Sale Sweepstakes ,Sample Sale Sweepstakes 2024,Sample Sale Sweepstakes 2024,TEXT,false,"68,963",,,,,,,,"5,767",8.36245522961588%,58,1.0057222125888676%,"$15,891.16",$273.99,$0.23,666,0.9657352493366007%,,,,
2024-08-20,Campaign Sequence 08-14-24,Tracksmith ,Tracksmith ,TEXT,true,"69,286",,,,,,,,"3,057",4.412146754034004%,68,2.2244030094864247%,"$18,382.66",$270.33,$0.27,691,0.997315474987732%,,,,
